city,state_name,lat,lng,population,location_id
Mount Pleasant,South Carolina,32.8537,-79.8203,90945,1513
Manteca,California,37.7927,-121.2264,90678,1514
Westminster,California,33.7523,-117.9938,90638,1515
Florence,South Carolina,34.178,-79.7898,90419,1516
Joplin,Missouri,37.0757,-94.5018,90384,1517
Germantown,Maryland,39.1755,-77.2643,90210,1518
San Leandro,California,37.7074,-122.1599,89723,1519
Town 'n' Country,Florida,28.0106,-82.5763,89456,1520
Clifton,New Jersey,40.863,-74.1575,89451,1521
Waukegan,Illinois,42.3698,-87.8716,89435,1522
Bloomington,Minnesota,44.8306,-93.3151,89244,1523
Avondale,Arizona,33.3873,-112.3235,89214,1524
Atascocita,Texas,29.9777,-95.1953,89121,1525
Missoula,Montana,46.8751,-114.0214,88780,1526
Fort Myers,Florida,26.6194,-81.8302,88699,1527
Newton,Massachusetts,42.3316,-71.2085,88453,1528
Lawrence,Massachusetts,42.7002,-71.1626,88067,1529
Muncie,Indiana,40.1989,-85.395,88061,1530
Rapid City,South Dakota,44.0716,-103.2204,87826,1531
Troy,Michigan,42.5817,-83.1457,87170,1532
Livermore,California,37.6868,-121.7607,87154,1533
Citrus Heights,California,38.6948,-121.288,87127,1534
Hawthorne,California,33.9147,-118.3476,86978,1535
Winchester,Virginia,39.1735,-78.1746,86813,1536
Springdale,Arkansas,36.1901,-94.1574,86705,1537
Whittier,California,33.9678,-118.0188,86459,1538
Deerfield Beach,Florida,26.305,-80.1277,86455,1539
Decatur,Illinois,39.8557,-88.9342,86231,1540
San Ramon,California,37.7624,-121.9365,86119,1541
Vineland,New Jersey,39.4653,-74.9981,86042,1542
Mission,Texas,26.2039,-98.3256,85755,1543
Auburn,Washington,47.3039,-122.2108,85623,1544
Lake Forest,California,33.6605,-117.6714,85583,1545
Newport Beach,California,33.6151,-117.8668,85159,1546
Melbourne,Florida,28.1086,-80.6627,84982,1547
Brooklyn Park,Minnesota,45.1112,-93.3505,84951,1548
Bryan,Texas,30.665,-96.3807,84820,1549
Westland,Michigan,42.3192,-83.3805,84806,1550
Napa,California,38.2975,-122.301,84703,1551
Baytown,Texas,29.7587,-94.9671,84449,1552
Cicero,Illinois,41.8445,-87.7593,84189,1553
Anderson,Indiana,40.0891,-85.6892,83875,1554
Franklin,Tennessee,35.92,-86.8516,83630,1555
Farmington Hills,Michigan,42.486,-83.3771,83562,1556
Buena Park,California,33.8572,-118.0046,83542,1557
Albany,Georgia,31.5776,-84.1762,83447,1558
Pine Hills,Florida,28.5818,-81.4692,83221,1559
State College,Pennsylvania,40.7909,-77.8567,83170,1560
Redwood City,California,37.5025,-122.2253,83077,1561
Warwick,Rhode Island,41.7062,-71.4334,82783,1562
Jackson,Michigan,42.2431,-84.4038,82775,1563
Cranston,Rhode Island,41.7658,-71.4858,82691,1564
Largo,Florida,27.9088,-82.7712,82541,1565
Miami Beach,Florida,25.8171,-80.1396,82400,1566
Alhambra,California,34.084,-118.1355,82295,1567
Johns Creek,Georgia,34.0333,-84.2027,82230,1568
Mountain View,California,37.4001,-122.0796,82132,1569
Salisbury,Maryland,38.3756,-75.5865,81921,1570
Morgantown,West Virginia,39.6383,-79.9464,81912,1571
Silver Spring,Maryland,39.0028,-77.0207,81808,1572
Layton,Utah,41.077,-111.962,81726,1573
Springfield,Ohio,39.93,-83.7959,81620,1574
Lakewood,California,33.8471,-118.1222,81499,1575
Florence,Alabama,34.8303,-87.6655,81268,1576
Folsom,California,38.6668,-121.1422,81077,1577
Madera,California,36.963,-120.0778,80937,1578
New Rochelle,New York,40.9304,-73.7836,80828,1579
Parma,Ohio,41.3843,-81.7286,80587,1580
Terre Haute,Indiana,39.466,-87.3751,80567,1581
Somerville,Massachusetts,42.3908,-71.1014,80464,1582
Flagstaff,Arizona,35.1872,-111.6194,80167,1583
Boynton Beach,Florida,26.5281,-80.0811,80068,1584
Homestead,Florida,25.4665,-80.4472,79996,1585
Newark,Ohio,40.0706,-82.425,79959,1586
Plymouth,Minnesota,45.0225,-93.4617,79918,1587
Anniston,Alabama,33.6712,-85.8135,79717,1588
Texarkana,Texas,33.45,-94.0847,79570,1589
Tustin,California,33.7311,-117.8107,79514,1590
Pharr,Texas,26.1685,-98.1904,79434,1591
Port Huron,Michigan,42.9821,-82.4388,79363,1592
Turlock,California,37.5053,-120.8588,79301,1593
Rancho Cordova,California,38.5737,-121.2527,79128,1594
The Villages,Florida,28.9034,-81.9887,79108,1595
Milpitas,California,37.4336,-121.8921,79092,1596
Perris,California,33.7898,-117.2233,78881,1597
Upland,California,34.1178,-117.6604,78847,1598
Alton,Illinois,38.9037,-90.152,78729,1599
Pleasanton,California,37.6663,-121.8805,78691,1600
Kendall,Florida,25.6697,-80.3556,78402,1601
Jonesboro,Arkansas,35.8212,-90.6791,78379,1602
Bellflower,California,33.888,-118.1271,78352,1603
Battle Creek,Michigan,42.2985,-85.2296,78338,1604
Chino Hills,California,33.9508,-117.7254,78223,1605
Cheyenne,Wyoming,41.135,-104.7902,78204,1606
Lebanon,Pennsylvania,40.3412,-76.4228,78147,1607
Carmichael,California,38.6318,-121.3263,78144,1608
South Jordan,Utah,40.557,-111.9784,78118,1609
Davis,California,38.5553,-121.737,77874,1610
Elizabethtown,Kentucky,37.7031,-85.8773,77770,1611
Schaumburg,Illinois,42.0308,-88.0838,77571,1612
Alameda,California,37.7668,-122.267,77565,1613
Hammond,Indiana,41.6168,-87.4909,77390,1614
Pasco,Washington,46.2506,-119.1305,77274,1615
Evanston,Illinois,42.0464,-87.6943,77181,1616
Lehi,Utah,40.4136,-111.8725,77110,1617
Alexandria,Louisiana,31.2923,-92.4702,77109,1618
North Port,Florida,27.0576,-82.1977,76975,1619
Arlington Heights,Illinois,42.0955,-87.9826,76794,1620
Camarillo,California,34.223,-119.0321,76748,1621
Wyoming,Michigan,42.8908,-85.7066,76732,1622
Flower Mound,Texas,33.0343,-97.1146,76630,1623
Bethlehem,Pennsylvania,40.6266,-75.3679,76555,1624
Hattiesburg,Mississippi,31.3074,-89.317,76501,1625
Loveland,Colorado,40.4166,-105.0623,76500,1626
Pittsburg,California,38.0182,-121.8965,76419,1627
Cedar Park,Texas,30.5105,-97.8197,76344,1628
Wenatchee,Washington,47.436,-120.3295,76152,1629
Southfield,Michigan,42.4765,-83.2605,76107,1630
Rochester Hills,Michigan,42.6645,-83.1563,76041,1631
Hammond,Louisiana,30.5061,-90.4563,76032,1632
Valdosta,Georgia,30.8502,-83.2788,75919,1633
Owensboro,Kentucky,37.7575,-87.1172,75644,1634
Apple Valley,California,34.5352,-117.2109,75603,1635
Woodbury,Minnesota,44.9057,-92.923,75549,1636
Pawtucket,Rhode Island,41.8744,-71.3743,75176,1637
St. Joseph,Missouri,39.7598,-94.821,75033,1638
Doral,Florida,25.8152,-80.3565,74891,1639
Dover,New Hampshire,43.1887,-70.8845,74554,1640
Missouri City,Texas,29.563,-95.5365,74517,1641
Saratoga Springs,New York,43.0674,-73.7775,74339,1642
Pocatello,Idaho,42.8724,-112.4647,74284,1643
Oshkosh,Wisconsin,44.0227,-88.5619,74251,1644
New Britain,Connecticut,41.6759,-72.7862,74212,1645
Castle Rock,Colorado,39.3763,-104.8535,74065,1646
Lauderhill,Florida,26.1605,-80.2241,73987,1647
Broomfield,Colorado,39.9542,-105.0526,73946,1648
Dale City,Virginia,38.6473,-77.3459,73928,1649
Bolingbrook,Illinois,41.6901,-88.1021,73755,1650
Redmond,Washington,47.6763,-122.1169,73728,1651
Caguas,Puerto Rico,18.2319,-66.0388,73713,1652
Mansfield,Texas,32.569,-97.1213,73680,1653
Ellicott City,Maryland,39.2774,-76.8345,73589,1654
Sheboygan,Wisconsin,43.7403,-87.7316,73531,1655
Mansfield,Ohio,40.7656,-82.5275,73448,1656
Glens Falls,New York,43.3109,-73.6458,73424,1657
Daytona Beach,Florida,29.1995,-81.0982,73329,1658
Lodi,California,38.1218,-121.2932,73239,1659
Redlands,California,34.0512,-117.1712,73234,1660
Harrisonburg,Virginia,38.4362,-78.8735,73160,1661
Dothan,Alabama,31.2336,-85.407,73037,1662
Cleveland,Tennessee,35.1817,-84.8707,72870,1663
Jackson,Tennessee,35.6538,-88.8354,72836,1664
Mount Vernon,New York,40.9136,-73.8291,72817,1665
Centreville,Virginia,38.839,-77.4389,72680,1666
Altoona,Pennsylvania,40.5082,-78.4007,72348,1667
Framingham,Massachusetts,42.3085,-71.4368,71805,1668
Camden,New Jersey,39.9361,-75.1073,71799,1669
Georgetown,Texas,30.666,-97.6966,71788,1670
Baldwin Park,California,34.0829,-117.9722,71692,1671
Rocklin,California,38.8075,-121.2489,71676,1672
Porterville,California,36.0643,-119.0338,71669,1673
Tamarac,Florida,26.2056,-80.2539,71578,1674
Glen Burnie,Maryland,39.156,-76.6071,71427,1675
Blacksburg,Virginia,37.23,-80.4279,71277,1676
Wausau,Wisconsin,44.962,-89.6459,71236,1677
Sumter,South Carolina,33.9392,-80.393,71234,1678
Janesville,Wisconsin,42.6854,-89.0135,71202,1679
Brunswick,Georgia,31.1449,-81.4746,71160,1680
Dublin,California,37.7161,-121.8963,71068,1681
Wilmington,Delaware,39.7415,-75.5416,71034,1682
Waukesha,Wisconsin,43.0087,-88.2464,70945,1683
Fairbanks,Alaska,64.8353,-147.6533,70817,1684
Lakeville,Minnesota,44.6774,-93.252,70696,1685
St. Charles,Missouri,38.7954,-90.5157,70687,1686
Redondo Beach,California,33.8577,-118.3765,70620,1687
Spring Hill,Tennessee,35.7437,-86.9116,70531,1688
Bayonne,New Jersey,40.6668,-74.1158,70497,1689
Grand Forks,North Dakota,47.9214,-97.0884,70475,1690
Noblesville,Indiana,40.0355,-86.0042,70442,1691
Guaynabo,Puerto Rico,18.3832,-66.1134,70167,1692
El Paso de Robles,California,35.6394,-120.656,70128,1693
North Richland Hills,Texas,32.8604,-97.218,70114,1694
Maple Grove,Minnesota,45.1089,-93.4626,70110,1695
Passaic,New Jersey,40.8574,-74.1282,70048,1696
Blaine,Minnesota,45.1696,-93.2077,70047,1697
Lake Elsinore,California,33.6847,-117.3344,69993,1698
Rogers,Arkansas,36.317,-94.1531,69961,1699
Casas Adobes,Arizona,32.3423,-111.0113,69917,1700
Sherman,Texas,33.6273,-96.6221,69880,1701
Walnut Creek,California,37.9024,-122.0399,69809,1702
Conway,Arkansas,35.0753,-92.4692,69651,1703
Eastvale,California,33.9617,-117.5803,69594,1704
Union City,California,37.6032,-122.0181,69502,1705
Michigan City,Indiana,41.7092,-86.869,69459,1706
Poinciana,Florida,28.1217,-81.4821,69311,1707
Tulare,California,36.1995,-119.34,69261,1708
Gary,Indiana,41.5905,-87.3473,69136,1709
Gaithersburg,Maryland,39.1346,-77.2131,69016,1710
East Orange,New Jersey,40.7651,-74.2117,68879,1711
Wesley Chapel,Florida,28.2106,-82.3238,68814,1712
West Des Moines,Iowa,41.5521,-93.7806,68744,1713
Dalton,Georgia,34.769,-84.972,68614,1714
Dubuque,Iowa,42.5002,-90.707,68601,1715
Schenectady,New York,42.8025,-73.9275,68476,1716
Ankeny,Iowa,41.7288,-93.6031,68392,1717
Maricopa,Arizona,33.0408,-112.0011,68376,1718
Eagan,Minnesota,44.817,-93.1638,68262,1719
Hanford,California,36.3274,-119.6549,68122,1720
Bristol,Tennessee,36.5572,-82.2154,68083,1721
Yorba Linda,California,33.889,-117.7714,68035,1722
Weston,Florida,26.1006,-80.4054,68029,1723
Watsonville,California,36.9206,-121.7708,68020,1724
Palo Alto,California,37.3905,-122.1468,67901,1725
South Hill,Washington,47.1198,-122.2853,67835,1726
Shawnee,Kansas,39.0158,-94.8076,67671,1727
San Marcos,Texas,29.8734,-97.9356,67491,1728
Great Falls,Montana,47.5022,-111.2996,67300,1729
Haverhill,Massachusetts,42.7838,-71.0871,67273,1730
Union City,New Jersey,40.7675,-74.0323,67258,1731
Palatine,Illinois,42.118,-88.043,67223,1732
Longview,Washington,46.1461,-122.963,67203,1733
Corvallis,Oregon,44.5698,-123.2779,67187,1734
Rockville,Maryland,39.0834,-77.1553,67142,1735
Skokie,Illinois,42.036,-87.74,67076,1736
Mount Vernon,Washington,48.4203,-122.3115,66896,1737
Casper,Wyoming,42.842,-106.3208,66876,1738
Ames,Iowa,42.0256,-93.6217,66729,1739
Delray Beach,Florida,26.455,-80.0905,66646,1740
Sammamish,Washington,47.6017,-122.0416,66586,1741
Lynwood,California,33.924,-118.2016,66346,1742
Dundalk,Maryland,39.2704,-76.4942,66321,1743
Bethesda,Maryland,38.9866,-77.1188,66316,1744
Morristown,Tennessee,36.2043,-83.3001,66220,1745
Juana DÃ­az,Puerto Rico,18.0532,-66.5044,66208,1746
Kankakee,Illinois,41.102,-87.8643,66065,1747
Fajardo,Puerto Rico,18.3331,-65.6589,66022,1748
Alpharetta,Georgia,34.0704,-84.2738,65884,1749
Novi,Michigan,42.4786,-83.4893,65870,1750
Kenner,Louisiana,30.0109,-90.2549,65785,1751
Bay City,Michigan,43.5902,-83.8887,65704,1752
Victoria,Texas,28.8287,-96.9849,65656,1753
South San Francisco,California,37.6538,-122.4196,65596,1754
Apex,North Carolina,35.7237,-78.8743,65541,1755
Parkersburg,West Virginia,39.2623,-81.542,65524,1756
Malden,Massachusetts,42.4305,-71.0576,65463,1757
Castro Valley,California,37.7088,-122.0626,65444,1758
Bozeman,Montana,45.6833,-111.0558,65279,1759
Brentwood,New York,40.7839,-73.2522,65042,1760
Waltham,Massachusetts,42.3889,-71.2423,64711,1761
Pflugerville,Texas,30.4515,-97.6018,64528,1762
North Little Rock,Arkansas,34.7807,-92.2371,64454,1763
Brentwood,California,37.9356,-121.719,64443,1764
Laguna Niguel,California,33.5275,-117.705,64259,1765
San Clemente,California,33.4499,-117.6102,64232,1766
Burnsville,Minnesota,44.7648,-93.2793,64075,1767
Spring,Texas,30.0613,-95.383,63930,1768
Port Charlotte,Florida,26.9918,-82.114,63913,1769
Eden Prairie,Minnesota,44.8488,-93.4595,63623,1770
Greenwood,Indiana,39.6019,-86.1073,63579,1771
Millcreek,Utah,40.6892,-111.8292,63520,1772
Bellevue,Nebraska,41.1485,-95.939,63336,1773
Coon Rapids,Minnesota,45.1755,-93.3094,63296,1774
Rowlett,Texas,32.9155,-96.5489,63291,1775
Hamilton,Ohio,39.3939,-84.5653,63149,1776
Lakewood,Washington,47.1628,-122.5299,63142,1777
Florence-Graham,California,33.9682,-118.2447,63132,1778
Commerce City,Colorado,39.8641,-104.843,63050,1779
Bossier City,Louisiana,32.5224,-93.6668,62971,1780
Taylor,Michigan,42.226,-83.2688,62937,1781
La Habra,California,33.9282,-117.9515,62904,1782
Port Orange,Florida,29.1085,-81.0137,62849,1783
Moore,Oklahoma,35.3293,-97.4757,62685,1784
Council Bluffs,Iowa,41.2369,-95.8516,62670,1785
Leander,Texas,30.5728,-97.8618,62491,1786
Dearborn Heights,Michigan,42.3164,-83.2769,62474,1787
Reston,Virginia,38.9497,-77.3461,62339,1788
Montebello,California,34.0155,-118.1108,62056,1789
Pontiac,Michigan,42.6493,-83.2878,61965,1790
Encinitas,California,33.0492,-117.261,61942,1791
Queen Creek,Arizona,33.2454,-111.6173,61788,1792
Medford,Massachusetts,42.4234,-71.1087,61748,1793
Springfield,Oregon,44.0538,-122.9811,61740,1794
Hendersonville,Tennessee,36.3063,-86.5997,61589,1795
Palm Harbor,Florida,28.0847,-82.7481,61589,1796
Pico Rivera,California,33.9901,-118.0888,61561,1797
Marietta,Georgia,33.9533,-84.5422,61387,1798
Wellington,Florida,26.6461,-80.2699,61373,1799
Sanford,Florida,28.7891,-81.2757,61272,1800
Woodland,California,38.6712,-121.75,61227,1801
Caldwell,Idaho,43.6453,-116.6594,61212,1802
Huntersville,North Carolina,35.406,-80.8716,61202,1803
Bristol,Connecticut,41.6812,-72.9407,61052,1804
Jupiter,Florida,26.92,-80.1128,60926,1805
San Rafael,California,37.9905,-122.5221,60891,1806
La Mesa,California,32.7703,-117.0204,60888,1807
Richland,Washington,46.2824,-119.2939,60867,1808
Revere,Massachusetts,42.4189,-71.004,60577,1809
Meriden,Connecticut,41.5369,-72.7946,60556,1810
Monterey Park,California,34.0497,-118.1326,60386,1811
Gardena,California,33.8943,-118.3072,60377,1812
Euless,Texas,32.8508,-97.08,60360,1813
Des Plaines,Illinois,42.0345,-87.9008,60087,1814
West Allis,Wisconsin,43.0068,-88.0296,59907,1815
North Miami,Florida,25.9008,-80.1686,59854,1816
St. Cloud,Florida,28.2363,-81.2779,59851,1817
The Hammocks,Florida,25.67,-80.4482,59843,1818
Cupertino,California,37.3168,-122.0466,59763,1819
Taylorsville,Utah,40.6569,-111.9493,59729,1820
Petaluma,California,38.2423,-122.6266,59682,1821
Kokomo,Indiana,40.464,-86.1277,59534,1822
Santee,California,32.8554,-116.9851,59497,1823
Stonecrest,Georgia,33.6842,-84.1372,59445,1824
Taunton,Massachusetts,41.9036,-71.0943,59436,1825
White Plains,New York,41.022,-73.7547,59421,1826
Palm Beach Gardens,Florida,26.8466,-80.1679,59088,1827
Chapel Hill,North Carolina,35.9271,-79.0391,58919,1828
Hoboken,New Jersey,40.7452,-74.0281,58754,1829
Parker,Colorado,39.5084,-104.7753,58733,1830
Blue Springs,Missouri,39.0124,-94.2721,58720,1831
Shoreline,Washington,47.7564,-122.3426,58673,1832
St. Clair Shores,Michigan,42.4925,-82.8961,58656,1833
Horizon West,Florida,28.4417,-81.6146,58595,1834
Margate,Florida,26.2466,-80.2119,58396,1835
Orland Park,Illinois,41.6075,-87.8619,58345,1836
Carson City,Nevada,39.1511,-119.7476,58249,1837
Midwest City,Oklahoma,35.463,-97.371,58124,1838
Royal Oak,Michigan,42.5084,-83.1539,58053,1839
Bowie,Maryland,38.9549,-76.7406,57922,1840
Kettering,Ohio,39.6956,-84.1494,57707,1841
St. Peters,Missouri,38.7825,-90.6061,57692,1842
Oak Lawn,Illinois,41.7139,-87.7528,57665,1843
Towson,Maryland,39.3944,-76.619,57617,1844
Coconut Creek,Florida,26.2803,-80.1842,57574,1845
Decatur,Alabama,34.5731,-86.9905,57525,1846
Lenexa,Kansas,38.9609,-94.8018,57497,1847
Bartlett,Tennessee,35.2337,-89.8195,57481,1848
South Whittier,California,33.9336,-118.0312,57383,1849
Lake Havasu City,Arizona,34.5006,-114.3113,57294,1850
Bel Air South,Maryland,39.5022,-76.3113,57109,1851
Fountainebleau,Florida,25.7723,-80.346,57066,1852
Wylie,Texas,33.0362,-96.5161,57063,1853
Madison,Alabama,34.7114,-86.7626,56967,1854
Brookhaven,Georgia,33.8743,-84.3314,56848,1855
Highland,California,34.1113,-117.165,56789,1856
Fountain Valley,California,33.7105,-117.9514,56754,1857
Berwyn,Illinois,41.8433,-87.7909,56556,1858
Severn,Maryland,39.1355,-76.6956,56438,1859
Albany,Oregon,44.6272,-123.0965,56348,1860
National City,California,32.6654,-117.0983,56345,1861
Lacey,Washington,47.0462,-122.7933,56263,1862
Mount Prospect,Illinois,42.0641,-87.9375,56191,1863
Arcadia,California,34.1342,-118.0373,56181,1864
DeSoto,Texas,32.5992,-96.8633,55882,1865
Smyrna,Georgia,33.8633,-84.5168,55863,1866
Bradenton,Florida,27.4901,-82.5757,55795,1867
New Brunswick,New Jersey,40.487,-74.445,55718,1868
Apple Valley,Minnesota,44.7457,-93.2004,55594,1869
Tinley Park,Illinois,41.567,-87.8049,55571,1870
Sarasota,Florida,27.3387,-82.5432,55508,1871
Hacienda Heights,California,33.997,-117.9727,55461,1872
Chicopee,Massachusetts,42.1764,-72.5719,55441,1873
West Haven,Connecticut,41.2739,-72.9672,55336,1874
Herriman,Utah,40.4899,-112.017,55301,1875
Perth Amboy,New Jersey,40.5202,-74.2724,55226,1876
Casa Grande,Arizona,32.9069,-111.7624,55186,1877
Tigard,Oregon,45.4237,-122.7845,55161,1878
Apopka,Florida,28.7015,-81.5316,55056,1879
Southaven,Mississippi,34.9514,-89.9786,54908,1880
Huntington Park,California,33.98,-118.2167,54547,1881
Diamond Bar,California,33.9992,-117.8161,54534,1882
Bentonville,Arkansas,36.3547,-94.2305,54513,1883
Yucaipa,California,34.0336,-117.0429,54428,1884
Plainfield,New Jersey,40.6154,-74.4157,54358,1885
Manhattan,Kansas,39.1886,-96.6048,54287,1886
Aspen Hill,Maryland,39.0927,-77.0826,54262,1887
Rocky Mount,North Carolina,35.9685,-77.804,54260,1888
Peabody,Massachusetts,42.5335,-70.9725,54204,1889
West Sacramento,California,38.5557,-121.5505,54163,1890
San Jacinto,California,33.797,-116.9916,54077,1891
Kentwood,Michigan,42.8852,-85.5926,54042,1892
Colton,California,34.0538,-117.3255,53959,1893
Oak Park,Illinois,41.8872,-87.7899,53834,1894
Westchester,Florida,25.7471,-80.3523,53765,1895
Smyrna,Tennessee,35.9687,-86.5264,53760,1896
Wheaton,Illinois,41.8561,-88.1085,53673,1897
Beaumont,California,33.9076,-116.9766,53544,1898
Aloha,Oregon,45.492,-122.8725,53532,1899
Minnetonka,Minnesota,44.9322,-93.4598,53529,1900
Pinellas Park,Florida,27.8589,-82.7078,53352,1901
Kannapolis,North Carolina,35.4764,-80.6408,53314,1902
Paramount,California,33.8977,-118.1651,53255,1903
Texas City,Texas,29.4154,-94.9682,53084,1904
Novato,California,38.092,-122.5575,53055,1905
Edina,Minnesota,44.8914,-93.3602,53037,1906
Normal,Illinois,40.5217,-88.9884,52920,1907
Tamiami,Florida,25.7556,-80.4016,52851,1908
Grand Island,Nebraska,40.9218,-98.3586,52822,1909
Methuen Town,Massachusetts,42.734,-71.1889,52812,1910
Elyria,Ohio,41.376,-82.106,52780,1911
Wheaton,Maryland,39.0492,-77.0573,52775,1912
Kendale Lakes,Florida,25.7081,-80.4078,52661,1913
Marana,Arizona,32.4355,-111.1558,52542,1914
West New York,New Jersey,40.7857,-74.0094,52438,1915
Twin Falls,Idaho,42.5645,-114.4613,52315,1916
Florissant,Missouri,38.7996,-90.3269,52167,1917
Glendora,California,34.1449,-117.8467,52095,1918
Cathedral City,California,33.8362,-116.4642,51964,1919
Aliso Viejo,California,33.5792,-117.7289,51896,1920
Placentia,California,33.8807,-117.8553,51797,1921
Hoffman Estates,Illinois,42.064,-88.1468,51744,1922
Burien,Washington,47.4762,-122.3394,51505,1923
Dunwoody,Georgia,33.9418,-84.3122,51458,1924
Palm Desert,California,33.7378,-116.3695,51290,1925
Troy,New York,42.7354,-73.6751,51268,1926
Collierville,Tennessee,35.047,-89.6987,51170,1927
Levittown,Pennsylvania,40.1533,-74.8531,51152,1928
Rosemead,California,34.0689,-118.0823,51043,1929
Country Club,Florida,25.9407,-80.3102,50975,1930
Enid,Oklahoma,36.4063,-97.87,50961,1931
Cuyahoga Falls,Ohio,41.1641,-81.5207,50916,1932
Mishawaka,Indiana,41.6742,-86.1666,50899,1933
Columbus,Indiana,39.2093,-85.9183,50896,1934
Summerville,South Carolina,33.0016,-80.1799,50839,1935
Levittown,New York,40.7241,-73.5125,50804,1936
Grapevine,Texas,32.9343,-97.0742,50763,1937
Covina,California,34.0903,-117.8818,50717,1938
Milford city ,Connecticut,41.2255,-73.0625,50664,1939
Draper,Utah,40.4957,-111.8605,50635,1940
Lakewood,Ohio,41.4822,-81.8008,50605,1941
Catalina Foothills,Arizona,32.3046,-110.8838,50573,1942
Delano,California,35.7662,-119.2635,50498,1943
Lincoln,California,38.8774,-121.2937,50131,1944
Murray,Utah,40.6498,-111.8874,50041,1945
Mooresville,North Carolina,35.5847,-80.8266,50025,1946
Downers Grove,Illinois,41.7949,-88.0172,49996,1947
Florin,California,38.4832,-121.4043,49992,1948
Cypress,California,33.8171,-118.0386,49955,1949
Jeffersonville,Indiana,38.3376,-85.7026,49771,1950
North Bethesda,Maryland,39.0393,-77.1191,49763,1951
Azusa,California,34.1386,-117.9124,49704,1952
Coral Gables,Florida,25.7037,-80.2715,49696,1953
Chesterfield,Missouri,38.6589,-90.5803,49645,1954
McLean,Virginia,38.9436,-77.1943,49587,1955
St. Louis Park,Minnesota,44.9488,-93.3649,49500,1956
East Honolulu,Hawaii,21.2975,-157.7211,49491,1957
Bedford,Texas,32.8464,-97.135,49455,1958
Euclid,Ohio,41.5903,-81.5188,49279,1959
Lawrence,Indiana,39.8674,-85.9904,49218,1960
Ceres,California,37.5952,-120.962,49183,1961
University,Florida,28.0771,-82.4335,49148,1962
Biloxi,Mississippi,30.4426,-88.9514,49141,1963
El Dorado Hills,California,38.675,-121.049,49082,1964
Cerritos,California,33.8678,-118.0686,49016,1965
Burleson,Texas,32.517,-97.3344,48970,1966
Portage,Michigan,42.2,-85.5906,48936,1967
Dublin,Ohio,40.1112,-83.1454,48893,1968
Poway,California,32.9871,-117.0201,48737,1969
Cedar Hill,Texas,32.581,-96.9591,48733,1970
Everett,Massachusetts,42.4064,-71.0545,48685,1971
Stillwater,Oklahoma,36.1317,-97.0742,48644,1972
Titusville,Florida,28.5727,-80.8193,48595,1973
Niagara Falls,New York,43.0921,-79.0147,48502,1974
Kyle,Texas,29.9932,-97.8852,48484,1975
Leesburg,Virginia,39.1057,-77.5544,48465,1976
Westfield,Indiana,40.0341,-86.1529,48262,1977
Little Elm,Texas,33.1858,-96.9295,48241,1978
Middletown,Connecticut,41.5476,-72.6549,48152,1979
North Highlands,California,38.6713,-121.3721,48083,1980
Tuckahoe,Virginia,37.5878,-77.5858,48049,1981
Wake Forest,North Carolina,35.9632,-78.514,48047,1982
Minot,North Dakota,48.2375,-101.278,48038,1983
Roswell,New Mexico,33.373,-104.5294,48035,1984
Wauwatosa,Wisconsin,43.0616,-88.0347,47919,1985
Bothell,Washington,47.7735,-122.2044,47917,1986
Glenview,Illinois,42.0825,-87.8214,47896,1987
Rockwall,Texas,32.9169,-96.4374,47859,1988
Wilson,North Carolina,35.7311,-77.9284,47767,1989
Rancho Santa Margarita,California,33.6318,-117.5988,47702,1990
La Mirada,California,33.9025,-118.0093,47644,1991
Antelope,California,38.7153,-121.361,47629,1992
Hilo,Hawaii,19.6883,-155.0863,47627,1993
San Luis Obispo,California,35.2669,-120.669,47529,1994
Roseville,Michigan,42.5074,-82.9369,47476,1995
Newark,California,37.5201,-122.0307,47470,1996
Mentor,Ohio,41.6893,-81.3362,47302,1997
Ocoee,Florida,28.5796,-81.5332,47290,1998
Rowland Heights,California,33.9716,-117.8912,47209,1999
Fort Pierce,Florida,27.4255,-80.3431,47153,2000
Brea,California,33.9254,-117.8655,47099,2001
Oro Valley,Arizona,32.4208,-110.9767,47053,2002
East Providence,Rhode Island,41.8065,-71.3565,47012,2003
Pearl City,Hawaii,21.4031,-157.9566,46812,2004
Salina,Kansas,38.8136,-97.6143,46734,2005
Beavercreek,Ohio,39.731,-84.0624,46576,2006
Winter Garden,Florida,28.5421,-81.5967,46518,2007
Potomac,Maryland,39.0141,-77.1943,46499,2008
Farmington,New Mexico,36.7555,-108.1823,46457,2009
Attleboro,Massachusetts,41.9311,-71.295,46384,2010
Huntsville,Texas,30.7009,-95.5567,46202,2011
Strongsville,Ohio,41.3128,-81.8313,46165,2012
Eagle Mountain,Utah,40.3137,-112.0114,46109,2013
Prescott,Arizona,34.5849,-112.4473,46054,2014
Olive Branch,Mississippi,34.961,-89.8469,45938,2015
Goose Creek,South Carolina,32.9927,-80.0055,45858,2016
Sicklerville,New Jersey,39.7452,-74.9934,45853,2017
Altamonte Springs,Florida,28.6615,-81.3953,45772,2018
Haltom City,Texas,32.8176,-97.2707,45771,2019
Hackensack,New Jersey,40.8891,-74.0462,45758,2020
Elmhurst,Illinois,41.8973,-87.9432,45648,2021
Urbandale,Iowa,41.639,-93.7812,45591,2022
Los Banos,California,37.063,-120.8406,45560,2023
Littleton,Colorado,39.5915,-105.0188,45531,2024
Ashburn,Virginia,39.0277,-77.4714,45479,2025
East Lansing,Michigan,42.748,-84.4836,45403,2026
